Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage
IDnow,https://www.idnow.io/,IDnow provides advanced machine-learning technology for its Identity-as-a-Service platform that can verify in real time the identities of people from different countries.,Germany,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2014,Mature,"58,190,000",Series C
Fidel,https://www.fidel.uk/,"Fidel is a payments API platform for developers, providing tools to build personalized products on top of payment cards. By using Fidel’s APIs developers can avoid complex integrations with payment service providers and bring their products to market in a faster, more secure, and more scalable fashion.",United Kingdom,Product As A Service,3. Cards,2013,Nascent,"18,000,000",Series A
BehavioSec,behaviosec.com,BehavioSec enables enterprises to transparently authenticate people across mobile and web apps by integrating its Behavioral Biometrics as a Service (BBaaS) platform. BehavioSec technology allows companies to continuously verify digital identities in real-time.,United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2008,Emerging,"25,730,000",Series B
Leveris,leveris.com,Leveris has developed an end-to-end platform to allow financial institutions and fintech startups such as digital-only banks or challenger banks to run their services.,Ireland,General BaaS Platforms,8. Developer Platforms,2014,Emerging,"18,010,000",Series B
Metaco,https://www.metaco.com/,"Metaco is a blockchain and cryptocurrency specialist firm that integrates into a bank's core processes. Its flagship product SILO is a complete cryptocurrency wallet-management system for the financial sector, offering custody and the ability to process transactions protected by military-grade security.",Switzerland,Transaction Infrastructure,11. Crypto As A Service,2014,Nascent,"17,000,000",Series A
Sequent Software,sequent.com,"Sequent is a developer of digital issuance and mobile wallet platform-as-a-service that delivers secure mobile payments and value-added services to banks, payment processors, mobile operators, and access control providers. With Sequent, customers can extend digitized cards to trusted applications for an open ecosystem of partners and developers while maintaining the strictest requirements of highly secure, regulated industries.",United States,Product As A Service,6. Other As A Service,2010,Emerging,"28,000,000",Series C
Veriff,veriff.com,"Veriff is an AI-driven global tech company building a visionary verification platform. Veriff technology makes sure that a person is who they claim to be. With the help of artificial intelligence, Veriff analyses thousands of technological and behavioral variables in seconds, verifying people from 190+ countries.",Estonia,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2015,Emerging,"23,320,000",Series B
ADDI,addi.com,"ADDI is a tech company focused on credit solutions which partners with e-commerce across Latin America, offering loans to customers who browse through their stores. The company offers a solution to customers that want to pay in installments, with more favorable conditions, and also allows a safe cash flow for online retailers by performing an AI risk analysis on each borrower.",Colombia,Product As A Service,1. Lending,2018,Nascent,"29,800,000",Series A
Alchemy,https://www.alchemyapi.io/,Alchemy is a developer platform that empowers companies to build scalable and reliable decentralized applications without the hassle of managing blockchain infrastructure in-house. Its mission is to provide developers with the fundamental building blocks they need to create the future of technology.,United States,General BaaS Platforms,8. Developer Platforms,2017,Nascent,"15,000,000",Series A
CognitiveScale,cognitivescale.com,"CognitieScale delivers industry-specific AI solutions for financial services, healthcare, and digital commerce markets that drive customer engagement and conversion, improve decision making, and empower employees. The solutions, built on CognitiveScale's Cortex augmented intelligence platform, emulate and extend human cognitive functions by pairing people with machines.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2013,Nascent,"41,000,000",Series B
Fetch.AI,https://fetch.ai/,"Fetch.AI is an adaptive, self-organizing smart ledger. The protocol is a digital work where autonomous economic agents can perform proactive economic activity.",United Kingdom,General BaaS Platforms,8. Developer Platforms,2017,Nascent,"15,000,000",Series A
FINCA Impact Finance,fincaimpact.com,FINCA Impact Finance is a network of microfinance institutions and banks that provide responsible financial services that enable low-income entrepreneurs and small business owners to invest in their future.,United States,Product As A Service,1. Lending,1984,Emerging,"15,000,000",Series B
Intelligo,intelligo.ai,"Intelligo is developing tech that automates background checks. Its product, Clarity, processes sources including premium databases, legal records, news, regulatory data, and social media. Clarity uses AI, machine learning, and text analytics to capture and analyze a sea of high-quality structured and unstructured data points from thousands of sources.",Israel,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2014,Nascent,"21,800,000",Series B
Jumio,jumio.com,"Jumio is an identification credentials authentication company that helps businesses reduce fraud, meet regulations, and increase revenue. Jumio utilizes proprietary, computer vision technology and document experts to verify credentials, including passports and driver's licenses issued by over 130 countries.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2012,Mature,"51,710,000",Acquired
Numerated,numerated.com,"Numerated makes it easy for businesses to purchase financial products from banks. Its digital lending and sales platform allows banks to create convenient digital application, digital account opening, and digital lending experiences enabled by rich data integrations. In addition, Numerated provides credit pre-screening and core data analysis tools to help banks fuel more targeted sales and marketing campaigns.",United States,Product As A Service,1. Lending,2015,Nascent,"32,000,000",Series B
Quanto,quan.to,"Quanto is an open banking platform where banks, fintechs, and their users can connect to each other to share data, build products, and move money around.",Brazil,Data Aggregators,9. Open Banking,2015,Nascent,"15,000,000",Series A
Setu,setu.co,"Setu builds Application Programming Interface (API) infrastructure for businesses and developers. It offers open APIs across four categories: bills, savings, credit, and payments. Any developer can access its sandbox to build an application and go through a developer certification program to go live.",India,General BaaS Platforms,8. Developer Platforms,2018,Nascent,"18,500,000",Series A
Truxton Trust,truxtontrust.com,"Truxton Trust private banking, wealth management, and trust and estate services.",United States,Product As A Service,4. Wealth Management,2004,Mature,"15,000,000",Public
Zest AI,zest.ai,"Zest AI makes the power of machine learning safe to use in credit underwriting. Lenders using Zest Automated Machine Learning make better decisions and better loans - increasing revenue, reducing risk, and automating compliance. Zest AI was founded in 2009 with the mission of making fair and transparent credit available to everyone and is now one of the fastest-growing fintech software companies. The company is headquartered in Los Angeles, California.",United States,Product As A Service,1. Lending,2009,Emerging,"286,500,000",Series E
Fraugster,fraugster.com,Fraugster is a German-Israeli anti-fraud company with the goal of eliminating fraud and increasing its customers' profits. Fraugster invented an artificial intelligence technology that combines human-like accuracy with machine scalability. This ability lets Fraugster foresee fraudulent transactions before they actually happen and creates a competitive advantage over other players in the anti-fraud space.,Germany,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2014,Nascent,"19,000,000",Series B
Matic,https://matic.com/,"Matic is a communication platform that connects lenders and borrowers originating a new home loan. Matic provides home insurance quotes, thus helping in completing the loan application and home buying process. By integrating with the mortgage lender, Matic reduces the time it takes to get a policy from 2-3 days to as little as 2-3 minutes.",United States,Product As A Service,5. Insurance,2014,Emerging,"31,500,000",Series B
SentiLink,sentilink.com,"SentiLink focuses on identity, beginning with financial services in the United States. SentiLink equips users with the tools needed to visualize fraud in any domain - be it money-laundering, contractor fraud, synthetic identities, or classic third-party stolen identities.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2017,Nascent,"14,000,000",Series A
Synctera,synctera.com,Synctera is looking to streamline partnerships between community banks and FinTech companies through a two-sided marketplace.,United States,Data Aggregators,10. Other Financial Data,2020,Nascent,"12,400,000",Seed
Wise,wise.us,Wise is a digital banking and growth platform for small businesses. The Wise platform integrates with banking technology to offer cloud based products and services that help small businesses grow.,United States,Product As A Service,3. Cards,2018,Nascent,"19,420,000",Series A
Modulr,modulrfinance.com,Modulr is an API platform that simplifies complex payment flows enabling businesses to rewire their payment processes to suit them.,United Kingdom,Product As A Service,15. Payments Processing,2016,Emerging,"64,880,000",Series B
figo,figo.io,"figo is a banking service provider that makes it easy for businesses to integrate banking functions into their everyday tasks such as automated bookkeeping, simplified credit checks, or account changes.",Germany,Data Aggregators,9. Open Banking,2012,Emerging,"19,040,000",Series C
Pangea Money Transfer,pangeamoneytransfer.com,"Pangea Money Transfer is a mobile-first remittance platform that brings a new approach to money transfers by allowing users in the US to send money to countries in Latin America instantly, for a low flat fee.",United States,Product As A Service,2. Payments Initiation,2012,Nascent,"20,420,000",Series B
Cobase,cobase.com,"Cobase offers a solution to companies that hold accounts with different banks by developing a multi-bank platform. The solution arranges direct connections with banks, open banking APIs or uses existing networks like SWIFT. In addition to worldwide bank connectivity, the platform's key features include a central payment hub and various cash management and treasury management modules.",Netherlands,Data Aggregators,9. Open Banking,2017,Nascent,"20,110,000",Series A
Aire Labs,aire.io,"Aire uses a proprietary artificial intelligence process to allow banks to lend to new, qualified borrowers. The company collects and validates applicant-provided data to evaluate profession, education, and financial knowledge. Lenders can then use this score to evaluate applicants and provide them with credit.",United Kingdom,Product As A Service,1. Lending,2014,Nascent,"19,520,000",Series B
Enfuce Financial Services,https://enfuce.com/,Enfuce Financial Services is in cloud-based payment infrastructure.,Finland,Product As A Service,15. Payments Processing,2016,Nascent,"16,600,000",Series A
MANTL,mantl.com,MANTL aims to help bank or credit unions grow deposits and streamline back-office tasks with an omni-channel account opening platform that integrates with your core.,United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2016,Nascent,"21,020,000",Series A
Volly,myvolly.com,Volly is a component-based platform for the mortgage and banking industries that integrates marketing and customer engagement strategies with lending technologies.,United States,Product As A Service,1. Lending,2013,Emerging,"11,000,000",Series B
Cover Genius,covergenius.com,"Cover Genius offers a 'full-stack' insurance distribution platform for mobility, retail, travel, and shared-economy partners. The company's technologies include XCover, a distribution platform providing coverage for any line of insurance in any country, language and currency, and XClaims, an API for instant payment of approved claims, handling tens of thousands of instant claim payments in several currencies via a variety of payment methods.",Australia,Product As A Service,5. Insurance,2014,Mature,"18,000,000",Series C
Bumped,bumped.com,Bumped is an app that links to an user's credit or debit card and gives users fractional shares of stock at stores they shop at.,United States,Product As A Service,6. Other As A Service,2017,Nascent,"32,020,000",Series A
Mulberry Technology,https://www.getmulberry.com/,Mulberry Technology works with e-commerce brands to embed extended warranty solutions into their customer journey through API and plugins reducing integration times from 3+ months to less than a week.,United States,Product As A Service,5. Insurance,2018,Nascent,"12,880,000",Series A
Bambu,https://bambu.co/,"Bambu offers AI-driven white-label robo advisors for financial institutions and wealth managers. It features Bambu Go for automating transactions, Bambu Build for customised solutions to clients, Intelligent Advisor for discovering investment opportunities, Portfolio Builder for developing portfolios, among others.",Singapore,Product As A Service,4. Wealth Management,2016,Emerging,"10,000,000",Series B
Belvo,belvo.co,Belvo provides an open banking platform API platform in Latin America that allows users to connect their account to an app.,Spain,Data Aggregators,9. Open Banking,2019,Nascent,"10,150,000",Seed
Bloom Credit,bloomcredit.io,"Bloom Credit takes a data-driven approach to improving the financial health and eligibility of loan applicants, using technology to analyze their issues and provide specific guidance that works.",United States,Product As A Service,1. Lending,2016,Nascent,"20,640,000",Series A
Cardlay,cardlay.com,"Cardlay offers a single platform to issue, load and manage cards and expenses globally for complete visibility.",Denmark,Product As A Service,2. Payments Initiation,2016,Nascent,"19,000,000",Series B
Cardless,cardless.com,"Cardless is helping brands create custom branded loyalty credit cards, with quick program creation and top-notch customer service.",United States,Product As A Service,3. Cards,2019,Nascent,"13,030,000",Series A
Insuritas,insuritas.com,"Insuritas provides insurance agencies outsourcing solutions for financial institutions allowing them to own a complete insurance agency without investing the capital required to build or buy an agency, or the inherent operational risks. Products include auto, home, business, life, medical, pet, warranty, AD&D, and credit life insurance.",United States,Product As A Service,5. Insurance,1999,Nascent,"10,000,000",Undisclosed
Plum,withplum.com,"Plum helps users ensure they are saving, investing, and not overpaying bills, by monitoring spending and automatically setting money aside that the user doesn't need. Plum notifies users about balances, gives fast access to savings, and offers tips on how to save more.",United Kingdom,Data Aggregators,9. Open Banking,2016,Nascent,"20,650,000",Series B
Rebel,rebel.com.br,Rebel is a Brazilian fintech company offering an online lending platform.,Brazil,Product As A Service,1. Lending,2017,Nascent,"53,900,000",Series B
Tesorio,tesorio.com,"Tesorio is a cash flow performance platform that helps finance teams better manage, predict and collect cash. Tesorio's cash flow performance platform applies machine learning to key financial data to help customers with accounts receivable automation including smart workflow tools, predicted pay dates, and automated collections forecasting.",United States,Product As A Service,6. Other As A Service,2013,Nascent,"17,620,000",Series A
Meniga,meniga.com,"Meniga builds white-label personal finance management (PFM) and online banking solutions for retail banks. Meniga's digital banking platform helps banks use personal finance data to enrich their online and mobile customer experiences. Meniga has expanded its product offering to include data-driven card-linked offers, personalization, and other user-centric services designed to make online and mobile banking more engaging and useful. Banks can also use Meniga's technology to quickly introduce compelling new services into their digital offerings.",United Kingdom,Data Aggregators,9. Open Banking,2009,Mature,"44,850,000",Series C
Qover,qover.com,"Qover is a B2B2C company that provides a suite of insurance products to companies, which companies can append to consumer-facing products. Qover provides cross-industry products and companies that generate extra revenue by offering the insurance product to consumers at the point of sale.",Belgium,Product As A Service,5. Insurance,2016,Nascent,"14,930,000",Series B
Andera,andera.com,Andera is a Software as a Service company that simplifies account opening and lending for banks and credit unions with its award-winning oFlows platform. The company has opened millions of accounts for hundreds of banks and credit unions across the nation.,United States,Product As A Service,15. Payments Processing,2000,Nascent,"9,350,000",Series A
Final,getfinal.com,"Final is issuing a credit card designed to give consumers total control over their merchant relationships, transparency in spending, and peace of mind across all payment experiences. Rather than a single, static 16-digit card number, Final generates multiple card numbers the consumer can restrict, and manages them automatically.",United States,Product As A Service,3. Cards,2014,Nascent,"10,020,000",Series A
Finja,finja.pk,Finja provides a mobile payments platform in Pakistan.,Pakistan,Product As A Service,2. Payments Initiation,2015,Emerging,"14,500,000",Series A
Tendermint,https://www.tendermint.com/,"Tendermint runs the Cosmos Network, a decentralized network of independent, scalable and interoperable blockchains.",United States,General BaaS Platforms,8. Developer Platforms,2014,Nascent,"9,000,000",Series A
Treasury Prime,treasuryprime.com,"Treasury Prime, a California-based, Y Combinator-backed startup company, offers APIs and platforms for enterprises within the financial sector.",United States,General BaaS Platforms,8. Developer Platforms,2017,Nascent,"9,120,000",Series A
Obopay,obopay.com,"Obopay is a mobile payment service in the US that lets consumers get, send and spend money from mobile phones. The Obopay management team is comprised of former executives from Visa International, Microsoft, Yahoo, Expedia, AT&T Wireless, Western Union, First Data Corporation,  Norwest Bank and Chordiant Software.",United States,Product As A Service,2. Payments Initiation,2005,Mature,"145,760,000",Series F
Vitesse,vitessepsp.com,"Vitesse provides cross-border payment services to banks and businesses via a globally distributed settlement network. Through a single integration, merchants gain access to domestic routing, leveraging lower payment costs, and deliver payments seamlessly.",United Kingdom,Product As A Service,15. Payments Processing,2013,Nascent,"8,640,000",Series A
Griffin,griffin.sh,"Griffin is a wholesale (""infrastructure""​) challenger bank in the UK. It provides a technology platform to fintechs that need custodial accounts and access to interbank payments.",United Kingdom,General BaaS Platforms,8. Developer Platforms,2016,Nascent,"12,500,000",Series A
Digital Insight,digitalinsight.com,"Digital Insight helps banks and credit unions grow by offering online and mobile banking solutions that make it easier for consumers and businesses to manage their money. Applying customer insights and innovation to design its products, Digital Insight provides solutions that help financial institutions achieve higher customer engagement and profitability.",United States,Product As A Service,2. Payments Initiation,1995,Mature,"19,440,000",Series C
Envestnet | Yodlee,yodlee.com,"Envestnet | Yodlee is a data aggregation and data analytics platform powering dynamic, cloud-based innovation for digital financial services.",United States,Data Aggregators,10. Other Financial Data,1999,Emerging,"201,350,000",Acquired
BharatPe,bharatpe.com,BharatPe is an Indian payments company serving offline retailers and businesses. It empowers merchants to accept UPI payments for free through the BharatPe QR. Merchants can sign up instantly and start receiving the funds immediately in their bank account.,India,Product As A Service,2. Payments Initiation,2018,Emerging,"150,700,000",Series C
Flinks,flinks.io,"Flinks is a financial data aggregator dedicated to the Canadian market. Flinks allows FinTech companies to connect their apps with customers' banks, allowing them to validate account ownership, verify account balances, or access transaction histories.",Canada,Data Aggregators,10. Other Financial Data,2016,Nascent,"13,650,000",Series A
Copper.co,https://copper.co/,"Copper is a custodian for digital assets. Its infrastructure enables institutions to acquire, store, and trade digital assets while its multi-signature safeguarding application allows institutions to have complete certainty that their capital is not at risk of theft, whether it be from hackers or bad players in the industry.",United Kingdom,Transaction Infrastructure,11. Crypto As A Service,2018,Nascent,"9,300,000",Series A
COCC,cocc.com,COCC provides complete enterprise data processing solutions to financial institutions using open systems.,United States,Data Aggregators,10. Other Financial Data,1967,Emerging,"53,390,000",Undisclosed
Sila,silamoney.com,"Sila is a suite of developer tools for building financial applications.  Sila's primary product is an API for identity verification, which the company says empowers developers to identify their users and then use that info in the company's banking API, which allows users to debit their accounts and move funds from one account to another. It is built on top of the Ethereum blockchain technology and is said to be targeting ACH payments and was founded by one of the co-founders of Simple, an early Neobank which ultimately sold to BBVA for $117.",United States,General BaaS Platforms,8. Developer Platforms,2018,Nascent,"7,700,000",Seed
Ario,arioplatform.com,"Ario is a digital lending platform targeting SMEs. The Ario lending-as-a-service platform allows enterprises to provide their customers with financing, including invoice financing, payroll financing, and working capital.On November 11th, 2020, Ario was acquired by Thinking Capital. Terms of the transaction were not disclosed.",Canada,Product As A Service,1. Lending,2017,Nascent,"7,550,000",Seed
Gig Wage,gigwage.com,Gig Wage is a payments platform geared specifically for independent contractors.,United States,Product As A Service,1. Lending,2014,Nascent,"8,620,000",Series A
Upstart,upstart.com,"Upstart (NASDAQ: UPST) is a lending platform that leverages artificial intelligence and machine learning to price credit and automates the borrowing process. In addition to its direct-to-consumer lending platform, Upstart provides technology to banks, credit unions and other partners via a ""Software-as-a-Service"" offering.",United States,Product As A Service,1. Lending,2012,Mature,"642,230,000",Public
Brite,britepaymentgroup.com,Brite allows customers to easily make payments from their bank accounts in minutes.,Sweden,Product As A Service,2. Payments Initiation,2019,Nascent,"6,720,000",Seed
Onfido,onfido.com,Onfido delivers an AI-based technology with facial biometrics to assess whether a user's government-issued ID is genuine or fraudulent.,United Kingdom,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2012,Mature,"216,140,000",Series D
Credit Kudos,creditkudos.com,"Credit Kudos is a Credit Reference Agency that sells credit scores to United Kingdom lenders. Credit Kudos uses open banking and PSD2 data to increase accuracy, whilst widening the pool of borrowers to those previously excluded by traditional credit scoring methods.",United Kingdom,Data Aggregators,9. Open Banking,2015,Nascent,"9,950,000",Series A
KNØX Custody,https://www.knoxcustody.com/,KNØX is a digital asset custodian to provide clients with dedicated allocations of protection with 100% coverage of the asset value held in custody.,Canada,Transaction Infrastructure,11. Crypto As A Service,2019,Nascent,"6,200,000",Seed
Upvest,upvest.co,"Upvest provides a decentralized, cloud-hosted wallet for digital currencies including ICOs.",Germany,General BaaS Platforms,8. Developer Platforms,2017,Nascent,"14,860,000",Series A
Ixaris,ixaris.com,"Ixaris specializes in the development of global applications based on open-loop (VISA and MasterCard) prepaid card schemes. The company develops technology that empowers its customers to benefit from 'perfect fit' payment applications and solutions that are easy and economical to-set up and run. Ixaris incorporates two separate divisions, Ixaris Solutions and Ixaris Technologies.",United Kingdom,Product As A Service,15. Payments Processing,2002,Emerging,"8,460,000",Undisclosed
Verient,verient.com,"Verient provides cloud-based, financial software products to banks and credit unions. Verient's offerings convert non-revenue producing payments into revenue-rich credit card transactions, while at the same time reducing fraud losses. Examples of Verient's broad capabilities include: automating business-to-business payments by replacing checks with single-use, virtual credit cards; converting debit card transactions into credit card transactions; allowing end user controls on individual transactions for customized payments.",United States,Product As A Service,3. Cards,2006,Emerging,"13,130,000",Series C
Bdeo,https://bdeo.io/,"Bdeo leverages artificial intelligence to digitize the interaction between insurance companies and policyholders, offering a comprehensive solution that spans from automatic policy subscription to the digitalization of claims management through automatic damage detection.",Spain,Product As A Service,5. Insurance,2017,Nascent,"7,070,000",Series A
Youtility,youtility.co.uk,"Youtility is an open-banking enabled home finance tech platform that allows banks to connect their customers with personalized home services contracts best suited to their needs, offering customers enhanced control over their core financial outgoings.",United Kingdom,Data Aggregators,10. Other Financial Data,2016,Nascent,"5,820,000",Seed
Mooncard,mooncard.co,Mooncard develops a debit card offering parameters that can be adjusted remotely and software that simplifies administrative procedures related to business expenses. Mooncard eliminates expense claims by automating their processing.,France,Product As A Service,3. Cards,2016,Nascent,"6,820,000",Series B
Tribal Credit,tribal.credit,"Tribal Credit is a business credit card specially designed to meet the needs of underserved startups in emerging markets. Its AI-driven approval process and blockchain technology give startups instant access to credit, complete control over their spending, and token-based financial rewards.",United States,Product As A Service,3. Cards,2016,Nascent,"6,700,000",Seed
Orum,orum.io,Orum offers a platform that helps financial institutions move money and predict funds.,United States,General BaaS Platforms,8. Developer Platforms,2019,Nascent,"5,200,000",Seed
Guardian Analytics,guardiananalytics.com,"Guardian Analytics is a provider in banking fraud prevention solutions that detect fraudulent activity and transactions in the online, ACH, wire, and mobile banking channels. The result is banks and credit unions with the confidence to expand revenue-generating banking services while protecting their assets, reputation, and trust. The company's mission is to protect the integrity of customers' brands and individual account assets, recognizing the importance of a safe banking environment to build and maintain confidence with their account holders and gain competitive advantage.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2005,Emerging,"57,010,000",Series E
AvidXchange,avidxchange.com,AvidXchange is an accounts payable (AP) and payment automation solutions provider that automates invoice and payment processes for mid-market businesses.,United States,Product As A Service,6. Other As A Service,2000,Mature,"1,160,110,000",Series G
WeTrust,wetrust.io,"Operator of a collaborative lending and insurance platform. The company provides collaborative lending and insurance platform built on the blockchain, featuring community based form of credit scores, insurance, and banking. It also provides reciprocal aid based financial services, such as mutual insurance funds and peer to peer (P2P) lending.",United States,Product As A Service,5. Insurance,2016,Nascent,"5,000,000",Series A
Zestful,zestful.com,Zestful is an employee perk card that looks and works like a pre-loaded debit card but only works on the products within the Zestful Catalog and only up to a monthly allowance.,United States,Product As A Service,3. Cards,2016,Nascent,"8,220,000",Seed
Blender,http://blender.global/,Blender is a peer-to-peer lending platform that provides cross-border lending services.,Israel,Product As A Service,1. Lending,2014,Nascent,"43,000,000",Series C
Penta Fintech,getpenta.com,"Penta is a digital bank account for SMEs and startups offering multiple Mastercards per company, low foreign transfer rates, fast online support in English & German, flexible pricing, and more.",Germany,Data Aggregators,9. Open Banking,2016,Nascent,"44,690,000",Series B
Wirex,wirexapp.com,"Wirex, formerly E-Coin, is a hybrid personal banking solution. The company combines the speed and flexibility of blockchain finance with the acceptance of traditional currency - all in one account. Wirex offers secure bitcoin wallets linked to Visa and MasterCard debit cards, supported by online and mobile applications.",United Kingdom,Product As A Service,3. Cards,2014,Emerging,"7,350,000",Seed
Trovata,trovata.io,"Trovata is cash automation software for the treasury management market. Trovata lets finance and treasury teams access, build, manage, and control their own trove of financial data from banks, business and accounting systems, and external markets.",United States,Data Aggregators,9. Open Banking,2016,Nascent,"9,800,000",Seed
Gro Solutions,grobanking.com,"Gro Solutions provides a digital sales platform to drive acquisition growth for banks and credit unions, across all channels of their business. The Gro Sales Platform features software solutions designed to optimize both the financial institution and end user experience for digital sales tasks, such as account opening and loan origination.",United States,Product As A Service,6. Other As A Service,2015,Nascent,"4,250,000",Series A
TransferWise,transferwise.com,TransferWise offers a money transfer service that uses a peer-to-peer model to help get better rates for consumers. All TransferWise exchanges operate at the real mid-market exchange rates that banks get on the interbank market.,United Kingdom,Product As A Service,2. Payments Initiation,2011,Emerging,"485,200,000",Undisclosed
LendKey Technologies,lendkey.com,LendKey provides web-based lending networks and solutions. The Company develops demand generation tools for marketing financial services.,United States,Product As A Service,1. Lending,2007,Emerging,"1,052,170,000",Series D
Flume Health,https://flumehealth.com/,"Flume Health focuses on lowering the cost of medical care and delivering a personalized patient experience. Its human healthcare concierge service finds patients highly-rated providers, personally books their appointments, and answers all questions along the way.",United States,Product As A Service,5. Insurance,2017,Nascent,"4,150,000",Seed
Allied Payment Network,alliedpayment.com,Allied Payment Network offers online bill payment service to financial institutions including banks and credit unions as well as directly to consumers. The company delivers simple and accurate bill pay services to Institutions at a cost that allows for an aggressive attitude toward bill pay adoption in order to enjoy a deeper relationship with your customers.,United States,Product As A Service,15. Payments Processing,2010,Emerging,"6,610,000",Series A
Neat,neat.hk,"Neat is an AI powered mobile personal financial assistant for millennials. The Neat Business dashboard gives users an overview of the state of all finances and features mechanisms for receiving payments, payroll, and expense management.",Hong Kong,Data Aggregators,9. Open Banking,2015,Nascent,"20,030,000",Series A
Stonestep,https://www.stonestep.ch/,"Stonestep is a Swiss-based insurtech firm that is changing how insurance is delivered in emerging markets. With its 'Microinsurance as a Service' platform, Stonestep enables mobile network operators, retailers and other corporations to easily diversify their services and generate additional revenue, by offering risk products designed to address the needs of first-generation insurance customers at an affordable price.",Switzerland,Product As A Service,5. Insurance,2012,Nascent,"4,000,000",Series A
Venmo,venmo.com,Venmo is a company that offers applications that enable users to transfer money via mobile devices.,United States,Product As A Service,2. Payments Initiation,2009,Emerging,"5,200,000",Series A
Weavr,https://www.weavr.io/,"Weavr Payments is a cloud-based virtual card payment solution for innovators & payment providers. It offers virtual cards for business payouts, consumer payments, and business purchasing. It provides API keys to configure and develop the pre-built payment templates. It can be embedded in consumer applications and can be used to drive business processes. The pricing is available on a monthly subscription plan.",England,Product As A Service,3. Cards,2018,Nascent,"4,650,000",Seed
Paytient,https://www.paytient.co/,"Paytient enables employees to pay any medical, dental, vision or vet bill over time.",United States,Product As A Service,6. Other As A Service,2018,Nascent,"3,860,000",Seed
Rize,rizefs.com,"Rize builds customer-centric financial applications for fintechs, incumbents, and non-financial brands.",United States,General BaaS Platforms,8. Developer Platforms,2014,Nascent,"5,770,000",Undisclosed
Open Payments,openpayments.io,"Open Payments provides the infrastructure required for successful Open Banking. The Open Payments Platform is a PSD2 compliant API aggregation platform that offers a single, open and secure point of access to the diverse bank API networks throughout Europe and also connects partner services like lending, currency and virtual banks.",Sweden,Data Aggregators,9. Open Banking,2017,Nascent,"5,800,000",Seed
WeGroup,https://www.wegroup.be/en/home,WeGroup is a Belgian InsurTech startup that helps insurance providers all over the world to better connect with their digital customers.,Belgium,Product As A Service,5. Insurance,2017,Nascent,"7,220,000",Series A
Lean Technologies,https://www.leantech.me/,"Lean Technologies provides banking APIs for developers, enabling them to build applications that securely access financial data in real time.",Saudi Arabia,General BaaS Platforms,8. Developer Platforms,2019,Nascent,"3,500,000",Seed
Nav Technologies,nav.com,"Nav fka Creditera helps business owners get more funding, lower their costs, and save time so they can create the business of their dreams. Its app gives free access to credit reports and scores specifically for small business owners, including both business and personal credit reports, cash-flow analysis, tools to help build business credit, and a marketplace of financing products, including credit cards. Its marketplace uses a lender-neutral algorithm to help business owners find financing options for their needs.",United States,Product As A Service,1. Lending,2012,Nascent,"101,600,000",Series D
Riskalyze,riskalyze.com,"Riskalyze empowers investment advisors to capture a quantitative measurement of client risk tolerance, and use that data to win new clients, capture and meet expectations, and quantify suitability. Riskalyze provides its technology to licensed investment advisors in the United States, who use it to capture risk tolerance and quantify suitability for their clients.",United States,Data Aggregators,10. Other Financial Data,2011,Mature,"27,040,000",Series A
Roostify,roostify.com,"Roostify provides a cloud-based digital lending platform, which enables mortgages to be done via smartphone, customers and lenders to accelerate the home loan experience improving speed, eliminating paper as well as simplifying the process to reduce costs.",United States,Product As A Service,1. Lending,2012,Emerging,"33,710,000",Series B
Trunomi,trunomi.com,"Trunomi provides customer consent and data rights management technology, which enables businesses to request, receive and capture customer consent to the use of their personal data. For the business, Trunomi creates consent receipts and convert them to customer data rights, which are accessible across all data systems. The company enables businesses to comply with regulations (EU GDPR) and data privacy laws and replace inefficient and costly legacy approaches. For the customer, Trunomi provides control and transparency over how their personal data is used.",United Kingdom,Data Aggregators,10. Other Financial Data,2013,Nascent,"9,540,000",Seed
Zenmonics,zenmonics.com,Zenmonics is a global provider of software that supports all channels of a financial institution on a single platform. Zenmonics' channelUNITED platform is an open standard tool that can be deployed with any core system and spans all self-service and assisted channels to enable complete digital transformation.,United States,Product As A Service,6. Other As A Service,2007,Nascent,"3,500,000",Series A
Secure,https://www.securesave.co/,Secure helps enable emergency savings accounts.,United States,Product As A Service,6. Other As A Service,2020,Nascent,"3,500,000",Seed
Mynt,mynt.se,"Mynt is a fully digital product that offers small businesses financing through a data driven credit scoring model. Approved businesses receive a revolving credit, that can be used as either invoice financing or as a business loan. While the concept of small business loans or invoice financing is not new, we have built a digital tool with a high credit scoring and fraud prevention, which is unique both in Sweden and Europe.",Sweden,Product As A Service,1. Lending,2017,Nascent,"6,070,000",Series B
